id,latest_ep,name,genre,status,score,review,publish_year,duration,link
4089,12/??,"Shinmai Ossan Bouken-sha, Saikyou Party ni Shinu Hodo Kitaerarete Muteki ni Naru",Hành động,Đang tiến hành,7.6,145,2024,?? Tập,https://animehay.cam/thong-tin-phim/shinmai-ossan-bouken-sha-saikyou-party-ni-shinu-hodo-kitaerarete-muteki-ni-naru-4089.html
4089,12/??,"Shinmai Ossan Bouken-sha, Saikyou Party ni Shinu Hodo Kitaerarete Muteki ni Naru",Hài hước,Đang tiến hành,7.6,145,2024,?? Tập,https://animehay.cam/thong-tin-phim/shinmai-ossan-bouken-sha-saikyou-party-ni-shinu-hodo-kitaerarete-muteki-ni-naru-4089.html
4089,12/??,"Shinmai Ossan Bouken-sha, Saikyou Party ni Shinu Hodo Kitaerarete Muteki ni Naru",Phiêu lưu,Đang tiến hành,7.6,145,2024,?? Tập,https://animehay.cam/thong-tin-phim/shinmai-ossan-bouken-sha-saikyou-party-ni-shinu-hodo-kitaerarete-muteki-ni-naru-4089.html
3892,24/??,Shy,Anime,Đang tiến hành,5.2,71,2023,?? Tập,https://animehay.cam/thong-tin-phim/shy-3892.html
3892,24/??,Shy,Hành động,Đang tiến hành,5.2,71,2023,?? Tập,https://animehay.cam/thong-tin-phim/shy-3892.html
3892,24/??,Shy,Siêu năng lực,Đang tiến hành,5.2,71,2023,?? Tập,https://animehay.cam/thong-tin-phim/shy-3892.html
3892,24/??,Shy,Drama,Đang tiến hành,5.2,71,2023,?? Tập,https://animehay.cam/thong-tin-phim/shy-3892.html
4110,12/??,Midnight Punch,Anime,Đang tiến hành,5.8,39,2024,?? Tập,https://animehay.cam/thong-tin-phim/midnight-punch-4110.html
4110,12/??,Midnight Punch,Hài hước,Đang tiến hành,5.8,39,2024,?? Tập,https://animehay.cam/thong-tin-phim/midnight-punch-4110.html
4110,12/??,Midnight Punch,Đời thường,Đang tiến hành,5.8,39,2024,?? Tập,https://animehay.cam/thong-tin-phim/midnight-punch-4110.html
3397,138/156,Thôn Phệ Tinh Không,CN Animation,Đang tiến hành,9.7,4518,2021,156 Tập,https://animehay.cam/thong-tin-phim/thon-phe-tinh-khong-3397.html
3397,138/156,Thôn Phệ Tinh Không,Huyền ảo,Đang tiến hành,9.7,4518,2021,156 Tập,https://animehay.cam/thong-tin-phim/thon-phe-tinh-khong-3397.html
3397,138/156,Thôn Phệ Tinh Không,Khoa huyễn,Đang tiến hành,9.7,4518,2021,156 Tập,https://animehay.cam/thong-tin-phim/thon-phe-tinh-khong-3397.html
4104,12/??,Tower of God Season 2,Anime,Đang tiến hành,8.5,150,2024,?? Tập,https://animehay.cam/thong-tin-phim/tower-of-god-season-2-4104.html
4104,12/??,Tower of God Season 2,Hành động,Đang tiến hành,8.5,150,2024,?? Tập,https://animehay.cam/thong-tin-phim/tower-of-god-season-2-4104.html
4104,12/??,Tower of God Season 2,Bí ẩn,Đang tiến hành,8.5,150,2024,?? Tập,https://animehay.cam/thong-tin-phim/tower-of-god-season-2-4104.html
4104,12/??,Tower of God Season 2,Giả tưởng,Đang tiến hành,8.5,150,2024,?? Tập,https://animehay.cam/thong-tin-phim/tower-of-god-season-2-4104.html
4104,12/??,Tower of God Season 2,Drama,Đang tiến hành,8.5,150,2024,?? Tập,https://animehay.cam/thong-tin-phim/tower-of-god-season-2-4104.html
4104,12/??,Tower of God Season 2,Phiêu lưu,Đang tiến hành,8.5,150,2024,?? Tập,https://animehay.cam/thong-tin-phim/tower-of-god-season-2-4104.html
3300,343/380,Nghịch Thiên Chí Tôn,CN Animation,Đang tiến hành,7.5,584,2021,380 Tập,https://animehay.cam/thong-tin-phim/nghich-thien-chi-ton-3300.html
3300,343/380,Nghịch Thiên Chí Tôn,Tiên hiệp,Đang tiến hành,7.5,584,2021,380 Tập,https://animehay.cam/thong-tin-phim/nghich-thien-chi-ton-3300.html
3300,343/380,Nghịch Thiên Chí Tôn,Trùng sinh,Đang tiến hành,7.5,584,2021,380 Tập,https://animehay.cam/thong-tin-phim/nghich-thien-chi-ton-3300.html
3051,421/464,Vô Thượng Thần Đế,CN Animation,Đang tiến hành,8.0,749,2020,464 Tập,https://animehay.cam/thong-tin-phim/vo-thuong-than-de-3051.html
3051,421/464,Vô Thượng Thần Đế,Tiên hiệp,Đang tiến hành,8.0,749,2020,464 Tập,https://animehay.cam/thong-tin-phim/vo-thuong-than-de-3051.html
3051,421/464,Vô Thượng Thần Đế,Trùng sinh,Đang tiến hành,8.0,749,2020,464 Tập,https://animehay.cam/thong-tin-phim/vo-thuong-than-de-3051.html
3051,421/464,Vô Thượng Thần Đế,Huyền ảo,Đang tiến hành,8.0,749,2020,464 Tập,https://animehay.cam/thong-tin-phim/vo-thuong-than-de-3051.html
